,Condition de prescription ou de délivrance,DesPharma,Dosage subst,Forme pharmaceutique,Nom,Nom subst,Type de générique,Voie d'administartion,cip7,cis,prix
20,,comprimé,5 mg (8 DH),comprimé enrobé,MUCINUM A L'EXTRAIT DE CASCARA  comprimé enrobé,COCCULUS INDICUS POUR PRÉPARATIONS HOMÉOPATHIQUES,,orale,3410951,60017367,0
21,,solution buvable en gouttes,2CH à 30CH et 4DH à 60DH,gélule,LYRICA 300 mg  gélule,GELSÉMIUM POUR PRÉPARATIONS HOMÉOPATHIQUES,,orale,3651330,60018088,23.46
22,,comprimé,25 mg,comprimé pelliculé,ENTECAVIR TEVA 1 mg  comprimé pelliculé,CARVÉDILOL,,orale,3010099,60018444,154.87
23,,solution,1000 mg,comprimé pelliculé,PERINDOPRIL TOSILATE TEVA 10 mg  comprimé pelliculé,LÉVOCARNITINE,,orale,2794381,60018896,3.64
24,,comprimé,50 0 mg,collyre,OPTICRON 2 POUR CENT  collyre,BOLDO (FEUILLE DE) (POUDRE DE),,ophtalmique,3202980,60019101,2.46
25,,gélule,300 mg,comprimé pelliculé sécable,DOXYLAMINE CRISTERS 15 mg  comprimé pelliculé sécable,PRÉGABALINE,,orale,3007651,60019329,0
26,,comprimé,,gel,ARNIGEL  gel,ENTÉCAVIR MONOHYDRATÉ,,cutanée,3002077,60019350,0
27,,comprimé,6 816 mg,comprimé sécable,SOLIAN 100 mg  comprimé sécable,PÉRINDOPRIL,,orale,3487474,60019927,9.37
28,,collyre,2 g,comprimé pelliculé,SPIRONOLACTONE MYLAN 75 mg  comprimé pelliculé,SODIUM (CROMOGLICATE DE),,orale,3496817,60021127,3.64
29,,comprimé,15 mg,comprimé enrobé,PERSANTINE 75 mg  comprimé enrobé,HYDROGÉNOSUCCINATE DE DOXYLAMINE,,orale,3082033,60021216,0
30,,gel,7 g (Teinture mère),mousse pour application,CLARELUX 500 microgrammes/g  mousse pour application cutanée en flacon pressurisé,ARNICA MONTANA POUR PRÉPARATIONS HOMÉOPATHIQUES,,cutanée,2165828,60021312,12.15
31,,comprimé,100 mg,solution injectable,FIBROVEIN 3 %  solution injectable,AMISULPRIDE,,intraveineuse,2688348,60021771,0
32,,comprimé,75 00 mg,gélule,SILODOSINE MYLAN 8 mg  gélule,SPIRONOLACTONE,,orale,3017344,60021928,4.71
33,,comprimé,75 mg,dispositif,EPINITRIL 5 mg/24 heures  dispositif transdermique,DIPYRIDAMOLE,,transdermique,3589884,60022275,11.87
34,,mousse,500 microgrammes,collyre en solution,DORZOLAMIDE CRISTERS 20 mg/ml  collyre en solution,PROPIONATE DE CLOBÉTASOL,,ophtalmique,3016779,60023270,4.41
35,,solution,30 mg,comprimé pelliculé,ADEMPAS 1 5 mg  comprimé pelliculé,TÉTRADÉCYL SULFATE DE SODIUM,,orale,2784968,60025054,0
36,,gélule,8 mg,comprimé pelliculé,EFFERALGAN 1000 mg  comprimé pelliculé,SILODOSINE,,orale,3648546,60025403,0
37,,dispositif,15 70 mg,comprimé pelliculé,KALOBA 20 mg  comprimé pelliculé,TRINITRINE,,orale,3000753,60026494,0
38,,collyre,20 mg,comprimé sécable,GLIBENCLAMIDE TEVA 5 mg  comprimé sécable,DORZOLAMIDE,,orale,3875331,60026957,9.88
39,,comprimé,1 50 mg,gélule,ELMIRON 100 mg  gélule,RIOCIGUAT,,orale,3009863,60027685,0
40,,comprimé,1000 mg,gélule,GABAPENTINE RANBAXY 400 mg  gélule,PARACÉTAMOL,,orale,3826491,60028050,27.12
41,,comprimé,20 mg,comprimé et  comprimé,DOLIRHUMEPRO PARACETAMOL  PSEUDOEPHEDRINE ET DOXYLAMINE  comprimé,PÉLARGONIUM (EXTRAIT FLUIDE DE RACINE DE),,orale,3698604,60028495,0
42,,comprimé,5 mg,solution injectable,TRACRIUM 25 mg/2 5 ml (1 POUR CENT)  solution injectable en ampoule,GLIBENCLAMIDE,,intraveineuse,5651179,60028552,0
43,,gélule,100 mg,comprimé pelliculé,TADALAFIL EG 10 mg  comprimé pelliculé,PENTOSANE POLYSULFATE SODIQUE,,orale,3008127,60029394,0
44,,gélule,400 mg,mélange de plantes pour tisane,MEDIFLOR N°7 CONTRE LA CONSTIPATION PASSAGERE  mélange de plantes pour tisane en sachet-dose,GABAPENTINE,,orale,3399333,60030980,0
45,,comprimé jour,500 mg,comprimé orodispersible,ARIPIPRAZOLE SANDOZ 10 mg  comprimé orodispersible,PARACÉTAMOL,,orale,3004343,60031071,17.38
46,,solution,25 mg,comprimé gastro-résistant(e),EUPANTOL 20 mg  comprimé gastro-résistant,BÉSILATE D'ATRACURIUM,,orale,4901154,60031527,0
47,,granules,3CH à 30CH et 5DH à 60DH,comprimé,PERINDOPRIL EVOLUGEN 8 mg  comprimé,CALCAREA IODATA POUR PRÉPARATIONS HOMÉOPATHIQUES,,orale,2169401,60031954,3.64
48,,comprimé,10 mg,poudre pour solution à diluer pour perfusion,VANCOMYCINE MYLAN 125 mg  poudre pour solution à diluer pour perfusion,TADALAFIL,,intraveineuse,5625845,60033510,0
49,,mélange de plantes,0 72 g,solution,BUCCOLAM 10 mg  solution buccale,SÉNÉ (FEUILLE DE),,buccogingivale,2210871,60034085,79.06
50,,comprimé,10 mg,suspension injectable,SYNACTHENE RETARD 1 mg/1 ml  suspension injectable I.M.,ARIPIPRAZOLE,,intramusculaire,3102586,60034644,9.25
51,,comprimé,20 mg,gel,KETOCONAZOLE BIOGARAN 2 %  gel en sachet-dose,PANTOPRAZOLE,,cutanée,3841579,60034936,4.40
52,,comprimé,8 mg,pastille,LYSOPAÏNE MAUX DE GORGE AMBROXOL CITRON 20 mg SANS SUCRE  pastille édulcorée au sorbitol et au sucralose,PÉRINDOPRIL TERT-BUTYLAMINE,,voie buccale autre,2228635,60035461,0
53,,poudre,125 mg,solution injectable,SIMPONI 50 mg  solution injectable en seringue préremplie,CHLORHYDRATE DE VANCOMYCINE,,sous-cutanée,3973097,60035714,746.57
54,,solution,10 mg,solution buvable,OXOMEMAZINE MYLAN 0 33 mg/ml SANS SUCRE  solution buvable édulcorée à l'acésulfame potassique,MIDAZOLAM,,orale,4921553,60035924,1.99
55,,suspension,2 50 mg,solution injectable,PROTAMINE CHOAY 1000 U.A.H./ml  solution injectable,CHLORURE DE ZINC,,intraveineuse,3101173,60037327,29.96
56,,gel,120 mg,comprimé pelliculé,AMLODIPINE/VALSARTAN KRKA 5 mg/160 mg  comprimé pelliculé,KÉTOCONAZOLE,,orale,3016678,60037380,22.24
57,,pastille,20 mg,comprimé dispersible ou à croquer,LAMOTRIGINE ARROW LAB 200 mg  comprimé dispersible ou à croquer,CHLORHYDRATE D'AMBROXOL,,orale,2196792,60038468,11.29
58,,solution,50 mg,pommade,SENOPHILE  pommade,GOLIMUMAB ,,cutanée,3095797,60040145,0
59,,solution,0 033 g,collyre,MONOSEPT 0 25 POUR MILLE (0 1 mg/0 4 ml)  collyre en solution en récipient unidose,OXOMÉMAZINE,,ophtalmique,3412826,60040469,0
60,,solution,1 000 Unités Antihéparine,solution pour perfusion,VIALEBEX 200 mg/ml NOUVEAUX-NES ET NOURRISSONS  solution pour perfusion,SULFATE DE PROTAMINE,,intraveineuse,5645084,60040572,0
61,,comprimé,160 mg,comprimé pelliculé à libération prolongée,TRAMADOL CRISTERS LP 150 mg  comprimé pelliculé à libération prolongée,VALSARTAN,,orale,4936394,60041560,7.98
62,,comprimé,200 mg,gaz,ACTYNOX 50 %/50 % v/v  gaz médicinal comprimé,LAMOTRIGINE,,inhalée,5503141,60043038,0
63,,pommade,5 00 g,comprimé pelliculé,OXCARBAZEPINE MYLAN 300 mg  comprimé pelliculé,OXYDE DE ZINC,,orale,3798286,60043077,14.18
64,,collyre,0 1 mg,poudre et  solvant pour suspension injectable,ROUVAX  poudre et solvant pour suspension injectable. Vaccin rougeoleux vivant,CÉTHEXONIUM (BROMURE DE),,intramusculaire;sous-cutanée,3092675,60043248,4.72
65,,solution,200 mg,comprimé,DONEPEZIL CRISTERS 5 mg  comprimé pelliculé,ALBUMINE HUMAINE ,,orale,2660634,60044492,0
66,,granules,3CH à 30CH et 6DH à 60DH,comprimé pelliculé,LEVETIRACETAM MYLAN PHARMA 250 mg  comprimé pelliculé,GLONOINUM POUR PRÉPARATIONS HOMÉOPATHIQUES,,orale,4162610,60044784,15.24
67,,comprimé,150 mg,comprimé pelliculé,CAPECITABINE MYLAN 500 mg  comprimé pelliculé,CHLORHYDRATE DE TRAMADOL,,orale,2744986,60044987,145.05
68,,solution buvable en ampoules,2CH à 30CH et 4DH à 60DH,solution à diluer pour perfusion,ZIMINO 2 5 mg/ml  solution à diluer pour perfusion,CACTUS GRANDIFLORUS POUR PRÉPARATIONS HOMÉOPATHIQUES,,intraveineuse,3002104,60045217,0
69,,gaz,50 % mole/mole,lyophilisat et  solution pour préparation injectable,VECTARION INJECTABLE  lyophilisat et solution pour préparation injectable,OXYGÈNE,,intraveineuse,3214279,60047143,0
70,,comprimé,300 mg,comprimé à libération prolongée,CONCERTA LP 54 mg  comprimé à libération prolongée,OXCARBAZÉPINE,,orale,3615564,60047182,40.70
71,,poudre,pas moins de 3 0 log  DICC50,collyre en solution,XALATAN 50 microgrammes/ml  collyre en solution,VIRUS DE LA ROUGEOLE  SOUCHE SCHWARTZ  VIVANT  ATTÉNUÉ ,,ophtalmique,3438412,60047271,15.15
72,,comprimé,5 mg,comprimé,BETAHISTINE TEVA 24 mg  comprimé,CHLORHYDRATE DE DONÉPÉZIL,,orale,3833829,60048672,5.82
73,,comprimé,250 mg,comprimé sécable,RAMIPRIL ALMUS 10 mg  comprimé sécable,LÉVÉTIRACÉTAM,,orale,3733565,60049895,3.75
74,,comprimé,500 mg,capsule molle,AVODART 0 5 mg  capsule molle,CAPÉCITABINE,,orale,3618255,60051234,16.54
75,,solution,2 5 mg,comprimé pelliculé,LEVETIRACETAM MYLAN 250 mg  comprimé pelliculé,LÉVOSIMENDAN,,orale,2669291,60051316,15.24
76,,lyophilisat,0 015 g,granulés,AMMONAPS 940 mg/g  granulés,ALMITRINE (MÉSILATE D'),,orale,5628329,60052254,0
77,,comprimé,54 mg,poudre pour solution pour perfusion,GEMCITABINE HOSPIRA 200 mg  poudre pour solution pour perfusion,CHLORHYDRATE DE MÉTHYLPHÉNIDATE,,intraveineuse,5714980,60052973,0
78,,collyre,50 microgrammes,comprimé,OLIGOSTIM COBALT  comprimé sublingual,LATANOPROST,,orale,3341859,60053064,0
79,,comprimé,24 mg,comprimé pelliculé,COVERSYL 10 mg  comprimé pelliculé,DICHLORHYDRATE DE BÉTAHISTINE,,orale,4900746,60053694,10.54
80,,comprimé,10 mg,poudre pour solution injectable ou pour perfusion,DACARBAZINE LIPOMED 1000 mg  poudre pour solution pour perfusion,RAMIPRIL,,intraveineuse,3011821,60054376,0
81,,capsule,0 5 mg,comprimé pelliculé,DIOSMINE RPG 600 mg  comprimé pelliculé,DUTASTÉRIDE,,orale,3563778,60056815,0
82,,comprimé,250 mg,comprimé pelliculé,EXFORGE 10 mg/160 mg  comprimé pelliculé,LÉVÉTIRACÉTAM,,orale,3781819,60058008,14.75
83,,granulés,940 mg,comprimé sécable,SPIRONOLACTONE ZENTIVA 75 mg  comprimé sécable,SODIUM (PHÉNYLBUTYRATE DE),,orale,3673828,60058378,3.64
84,,poudre,200 mg,comprimé pelliculé,GABITRIL 10 mg  comprimé pelliculé,GEMCITABINE,,orale,3412625,60058517,48.77
85,,comprimé,0 240 mg,comprimé pelliculé,LYNPARZA 150 mg  comprimé pelliculé,GLUCONATE DE COBALT,,orale,3014421,60058620,4.755.52
86,,comprimé,6 79 mg,comprimé sécable,RITALINE 10 mg  comprimé sécable,PÉRINDOPRIL,,orale,3392940,60059081,5.39
87,,poudre,1000 mg,gélule,TETRALYSAL 150 mg  gélule,DACARBAZINE,,orale,4158809,60061171,5.95
88,,comprimé,600 mg,gaz pour inhalation,OXYGENE MEDICINAL LIQUIDE SOMAL  gaz pour inhalation  pour évaporateur fixe,DIOSMINE,,inhalée,5700647,60061449,0
89,,comprimé,10 mg,gélule,PREGABALINE TEVA SANTE 200 mg  gélule,AMLODIPINE,,orale,3002284,60061602,23.22
90,,comprimé,75 mg,comprimé,INEGY 10 mg/20 mg  comprimé,SPIRONOLACTONE,,orale,4900316,60061709,34.16
91,,comprimé,,comprimé pelliculé,DAFLON 500 mg  comprimé pelliculé,CHLORHYDRATE DE TIAGABINE MONOHYDRATÉ,,orale,4900055,60064527,0
92,,comprimé,150 mg,gélule à libération prolongée,GALANTAMINE ARROW LP 8 mg  gélule à libération prolongée,OLAPARIB,,orale,2201286,60064872,0
93,,comprimé,10 mg,comprimé pelliculé,CELIPROLOL ZENTIVA 200 mg  comprimé pelliculé,CHLORHYDRATE DE MÉTHYLPHÉNIDATE,,orale,3897255,60065198,14.87
94,,gélule,226 mg,comprimé gastro-résistant(e),PANTOPRAZOLE ZF 20 mg  comprimé gastro-résistant,LYMÉCYCLINE,,orale,2676517,60065294,0
95,,gaz,q.s. (sous une pression de 10 à 12 bar  à -150 °C),solution buvable,ZADITEN 1 mg/5 ml  solution buvable,OXYGÈNE,,orale,3244895,60067562,4.22
96,,gélule,200 mg,comprimé pelliculé sécable,ESCITALOPRAM MYLAN 10 mg  comprimé pelliculé sécable,PRÉGABALINE,,orale,3007484,60068002,5.15
97,,comprimé,20 mg,comprimé,COVERAM 10 mg/10 mg  comprimé,SIMVASTATINE,,orale,4900194,60068251,8.65
98,,comprimé,500 mg dont 450 mg de diosmine et 50 mg de flavonoïdes exprimés en hespéridine,comprimé,COVERAM 5 mg/5 mg  comprimé,FRACTION FLAVONOÏQUE PURIFIÉE MICRONISÉE,,orale,4900173,60068333,6.37
99,,gélule,,granulés,MONTELUKAST TEVA 4 mg  granulés,BROMHYDRATE DE GALANTAMINE,,orale,2186109,60069339,11.01
100,,comprimé,200 mg,comprimé enrobé,TRENTADIL 300 mg  comprimé enrobé,CHLORHYDRATE DE CÉLIPROLOL,,orale,3107796,60070195,2.55
101,,comprimé,20 mg,capsule,MYCOHYDRALIN 500 mg  capsule vaginale,PANTOPRAZOLE,,vaginale,3014833,60070359,0
102,,solution,0 0276 g,solution injectable,MIRCERA 200 microgrammes/0 3 ml  solution injectable en seringue préremplie,KETOTIFÈNE (FUMARATE DE),,intraveineuse;sous-cutanée,3815205,60070665,302.67
103,,comprimé,12 78 mg,comprimé pelliculé sécable,SIMVASTATINE SANDOZ 10 mg  comprimé pelliculé sécable,OXALATE D'ESCITALOPRAM,,orale,3788431,60071190,3.06
104,,comprimé,10 mg,comprimé pelliculé,DARUNAVIR REDDY PHARMA 600 mg  comprimé pelliculé,AMLODIPINE,,orale,3015756,60071233,276.02
105,,comprimé,5 mg,comprimé pelliculé,OROMONE 2 mg  comprimé pelliculé,PÉRINDOPRIL ARGININE,,orale,3424367,60071379,1.74
106,,granulés,,comprimé gastro-résistant(e),EUPANTOL 40 mg  comprimé gastro-résistant,MONTÉLUKAST SODIQUE,,orale,3797499,60071952,6.23
107,,comprimé,300 mg,solution à diluer pour perfusion,MITOXANTRONE TEVA 25 mg/12 5 ml  solution à diluer pour perfusion,CHLORHYDRATE DE BAMIFYLLINE,,intraveineuse,5615657,60072506,0
108,,capsule,500 mg,comprimé,ETIOVEN 30 mg  comprimé,CLOTRIMAZOLE,,orale,3420174,60073451,0
109,,solution,200 microgrammes,comprimé pelliculé,LEVOCETIRIZINE KRKA 5 mg  comprimé pelliculé,MÉTHOXY POLYÉTHYLÈNE GLYCOL-ÉPOÉTINE BÊTA ,,orale,2217933,60073608,2.10
110,,comprimé,10 0 mg,comprimé orodispersible,DONEPEZIL MYLAN 10 mg  comprimé orodispersible,SIMVASTATINE,,orale,4935012,60073907,0
111,,comprimé,600 mg,comprimé pelliculé,IBUPROFENE BIOGARAN CONSEIL 400 mg  comprimé pelliculé,DARUNAVIR,,orale,3835892,60073914,0
112,,comprimé,2 00 mg,ovule,INTRAROSA 6 5 mg  ovule,BÊTA-ESTRADIOL,,vaginale,3015759,60073960,0
113,,comprimé,40 00 mg,gélule,PERMIXON 160 mg  gélule,PANTOPRAZOLE,,orale,4900057,60074432,45.31
114,,solution buvable en gouttes,2CH à 30CH et 4DH à 60DH,solution pour perfusion,OCTAPLASLG  solution pour perfusion,THUYA OCCIDENTALIS POUR PRÉPARATIONS HOMÉOPATHIQUES,,intraveineuse,5500309,60074795,0
115,,solution,29 10 mg,solution injectable,MYAMBUTOL 1000 mg/10 ml  solution injectable (I.M.-I.V.) en ampoule,CHLORHYDRATE DE MITOXANTRONE,,intramusculaire;intraveineuse,5585577,60074934,0
116,,comprimé,30 00 mg,pâte pour application,BIOXYOL  pâte pour application cutanée,NAFTAZONE,,cutanée,3012185,60075064,0
117,,comprimé,5 mg,gélule à libération prolongée,VENLAFAXINE ARROW LP 37 5 mg  gélule à libération prolongée,DICHLORHYDRATE DE LÉVOCÉTIRIZINE,,orale,3882348,60075192,4.99
118,,comprimé,10 mg,gélule,PREGABALINE BIOGARAN 100 mg  gélule,CHLORHYDRATE DE DONÉPÉZIL,,orale,3003295,60075452,16.25
119,,comprimé,400 mg,collyre,VITARUTINE  collyre en solution,IBUPROFÈNE,,ophtalmique,3351941,60076102,0
120,,ovule,6 5 mg,comprimé pelliculé sécable,CARDENSIEL 2 5 mg  comprimé pelliculé sécable,PRASTÉRONE,,orale,3529706,60077574,5.02
121,,gélule,160 mg,comprimé,LEVONORGESTREL EG 1 5 mg  comprimé,PALMIER DE FLORIDE (SERENOA REPENS (W.BARTRAM) SMALL.) (EXTRAIT DU FRUIT DE),,orale,2781059,60078078,2.48
122,,solution,45 - 70 mg,comprimé à libération prolongée,QUETIAPINE ACCORD HEALTHCARE LP 400 mg  comprimé à libération prolongée,PROTÉINES PLASMATIQUES HUMAINES ,,orale,3006450,60078765,28.67
123,,solution,1000 mg,gélule,PERMIXON 160 mg  gélule,CHLORHYDRATE D'ÉTHAMBUTOL,,orale,4900088,60079721,45.31
124,,pâte,7 70 g,suppositoire,FIVASA 500 mg  suppositoire,PEROXYDE DE ZINC,,rectale,3588117,60080218,18.47
125,,gélule,,solution pour perfusion,VENOFER 20 mg/ml  solution injectable (IV),CHLORHYDRATE DE VENLAFAXINE,,intraveineuse;voie extracorporelle autre,5712834,60080232,0
126,,gélule,100 mg,comprimé pelliculé,FERVEXRHUME  comprimé pelliculé,PRÉGABALINE,,orale,3014303,60082023,0
127,,collyre,0 500 g,solution injectable,COPAXONE 20 mg/ml  solution injectable en seringue préremplie,NICOTINAMIDE,,sous-cutanée,3638401,60082062,691.95
128,,solution buvable en gouttes,3CH à 30CH et 5DH à 60DH,comprimé orodispersible,OLANZAPINE ARROW GENERIQUES 10 mg  comprimé orodispersible,ASCLEPIAS TUBEROSA POUR PRÉPARATIONS HOMÉOPATHIQUES,,orale,3952830,60083132,11.33
129,,comprimé,2 5 mg,poudre et  solvant pour solution injectable,GLUCAGEN 1 mg/ml  poudre et solvant pour solution injectable,FUMARATE DE BISOPROLOL,,intramusculaire;intraveineuse;sous-cutanée,3359055,60084049,15.54
130,,comprimé,1 50 mg,comprimé enrobé,PEFLACINE MONODOSE 400 mg  comprimé enrobé,LÉVONORGESTREL,,orale,3298253,60085578,0
131,,comprimé,,gélule à libération prolongée,VENLAFAXINE MYLAN PHARMA LP 37 5 mg  gélule à libération prolongée,QUÉTIAPINE (HÉMIFUMARATE DE),,orale,2242799,60085610,0
132,,gélule,160 mg,solution à diluer pour perfusion,ZALTRAP 25 mg/ml  solution à diluer pour perfusion,PALMIER DE FLORIDE (SERENOA REPENS (W.BARTRAM) SMALL.) (EXTRAIT DU FRUIT DE),,intraveineuse,5841856,60089217,0
133,,suppositoire,500 mg,gélule,PARACETAMOL TEVA 500 mg  gélule,MÉSALAZINE,,orale,2194178,60091086,1.16
134,,solution,540 mg,comprimé sécable,SINEMET 250 mg/25 mg  comprimé sécable,COMPLEXE D'HYDROXYDE FERRIQUE - SACCHAROSE,,orale,3172463,60092590,11.27
135,,comprimé,500 mg,comprimé pelliculé à libération prolongée,ROPINIROLE BIOGARAN LP 8 mg  comprimé pelliculé à libération prolongée,PARACÉTAMOL,,orale,2745968,60093639,23.47
136,,solution,20 mg,gélule,TRANDOLAPRIL MYLAN 0 5 mg  gélule,ACÉTATE DE GLATIRAMÈRE,,orale,3847197,60094125,1.91
137,,solution buvable en ampoules,3CH à 30CH et 5DH à 60DH,pâte dentifrice,HEXTRIL 0 1 POUR CENT  pâte dentifrice,LAPIS ALBUS POUR PRÉPARATIONS HOMÉOPATHIQUES,,dentaire;gingivale,3392615,60095056,0
138,,comprimé,10 mg,capsule molle,IMODIUMLIQUICAPS 2 mg  capsule molle,OLANZAPINE,,orale,2180101,60095095,0
139,,poudre,,comprimé sécable,FOSINOPRIL ZENTIVA 10 mg  comprimé sécable,CHLORHYDRATE DE GLUCAGON ,,orale,3867403,60095526,3.64
140,,comprimé,400 00 mg,comprimé enrobé,MAXILASE MAUX DE GORGE ALPHA-AMYLASE 3000 U. CEIP  comprimé enrobé,PÉFLOXACINE,,orale,3993384,60095729,0
141,,gélule,,comprimé sécable,PRAVASTATINE ARROW 10 mg  comprimé sécable,CHLORHYDRATE DE VENLAFAXINE,,orale,2665643,60097203,4.07
142,,solution,25 mg,gel,DERMOVAL  gel,AFLIBERCEPT ,,cutanée,3261304,60097833,2.44
143,,gélule,500 mg,solution pour perfusion,ALBUMINE HUMAINE BAXTER BIOSCIENCE 200 g/l  solution pour perfusion,PARACÉTAMOL,,intraveineuse,5704697,60098472,0
144,,comprimé,25 mg,comprimé pelliculé,AMOXICILLINE/ACIDE CLAVULANIQUE ALMUS 500 mg/62 5 mg ADULTES  comprimé pelliculé (rapport amoxicilline/acide clavulanique : 8/1),CARBIDOPA ANHYDRE,,orale,3606163,60099738,4.73
145,,comprimé,9 121 mg,collyre,BETOPTIC 0 5 POUR CENT  collyre,CHLORHYDRATE DE ROPINIROLE,,ophtalmique,3290458,60100877,3.87
146,,gélule,0 5 mg,comprimé pelliculé,GABAPENTINE ZENTIVA 600 mg  comprimé pelliculé,TRANDOLAPRIL,,orale,3779248,60105162,33.40
147,,pâte,0 100 g,solution injectable,ROPIVACAINE ALTAN 10 mg/mL  solution injectable,HEXÉTIDINE,,infiltration;péridurale;périneurale,5506197,60105568,0
148,,capsule,2 mg,poudre et  solvant pour solution injectable,REFACTO AF 250 UI  poudre et solvant pour solution injectable en seringue préremplie,CHLORHYDRATE DE LOPÉRAMIDE,,intraveineuse,5838363,60106606,0
149,,comprimé,10 0 mg,comprimé pelliculé,DROSPIBEL 0 02 mg/3 mg  comprimé pelliculé,FOSINOPRIL SODIQUE,,orale,2190341,60106848,0
150,,comprimé,3000 U.CEIP,solution pour application,VERRUFILM  solution pour application locale en flacon,ALFA-AMYLASE ,,cutanée,3392762,60107747,0
151,,comprimé,10 mg,gélule,ARKOGELULES CHARBON VEGETAL  gélule,PRAVASTATINE SODIQUE,,orale,3350249,60107932,0
152,,gel,0 05 g,gélule,OXYCODONE SANDOZ 20 mg  gélule,CLOBÉTASOL (PROPIONATE DE),,orale,3006896,60108518,3.72
153,,solution,200 g,comprimé sécable,TERBINAFINE BIOGARAN 250 mg  comprimé sécable,ALBUMINE HUMAINE PLASMATIQUE ,,orale,3749891,60108678,20.47
154,,comprimé,62 5 mg,comprimé quadrisécable,CAPTOPRIL SANDOZ 50 mg  comprimé quadrisécable,CLAVULANIQUE (ACIDE),,orale,3514923,60108870,3.64
155,,collyre,0 56 g,gélule à libération prolongée,MONO TILDIEM LP 200 mg  gélule à libération prolongée,BÉTAXOLOL (CHLORHYDRATE DE),,orale,4900278,60109100,4.72
156,,crème,2CH à 30CH et 4DH à 60DH (crème à 4 %),pommade,MUPIROCINE PIERRE FABRE 2%  pommade,QUERCUS  DÉCOCTÉ POUR PRÉPARATIONS HOMÉOPATHIQUES,,cutanée,3007616,60109303,3.09
